api,family,operation_id,http,mutating,google_tools,connector_tools,covered_by
gmail,users.settings.delegates,gmail.users.settings.delegates.list,GET,,,,neither
gmail,users.settings.filters,gmail.users.settings.filters.create,POST,yes,,,neither
gmail,users.settings.filters,gmail.users.settings.filters.delete,DELETE,yes,,,neither
gmail,users.settings.filters,gmail.users.settings.filters.get,GET,,,,neither
gmail,users.settings.filters,gmail.users.settings.filters.list,GET,,,,neither
gmail,users.settings.forwardingAddresses,gmail.users.settings.forwardingAddresses.create,POST,yes,,,neither
gmail,users.settings.forwardingAddresses,gmail.users.settings.forwardingAddresses.delete,DELETE,yes,,,neither
gmail,users.settings.forwardingAddresses,gmail.users.settings.forwardingAddresses.get,GET,,,,neither
gmail,users.settings.forwardingAddresses,gmail.users.settings.forwardingAddresses.list,GET,,,,neither
gmail,users.settings.sendAs,gmail.users.settings.sendAs.create,POST,yes,,,neither
gmail,users.settings.sendAs,gmail.users.settings.sendAs.delete,DELETE,yes,,,neither
gmail,users.settings.sendAs,gmail.users.settings.sendAs.get,GET,,,,neither
gmail,users.settings.sendAs,gmail.users.settings.sendAs.list,GET,,,,neither
gmail,users.settings.sendAs,gmail.users.settings.sendAs.patch,PATCH,yes,,,neither
gmail,users.settings.sendAs,gmail.users.settings.sendAs.update,PUT,yes,,,neither
gmail,users.settings.sendAs,gmail.users.settings.sendAs.verify,POST,yes,,,neither
gmail,users.settings.sendAs.smimeInfo,gmail.users.settings.sendAs.smimeInfo.delete,DELETE,yes,,,neither
gmail,users.settings.sendAs.smimeInfo,gmail.users.settings.sendAs.smimeInfo.get,GET,,,,neither
gmail,users.settings.sendAs.smimeInfo,gmail.users.settings.sendAs.smimeInfo.insert,POST,yes,,,neither
gmail,users.settings.sendAs.smimeInfo,gmail.users.settings.sendAs.smimeInfo.list,GET,,,,neither
gmail,users.settings.sendAs.smimeInfo,gmail.users.settings.sendAs.smimeInfo.setDefault,POST,yes,,,neither
gmail,users.threads,gmail.users.threads.delete,DELETE,yes,,,neither
gmail,users.threads,gmail.users.threads.get,GET,,get_thread,get_thread,both
gmail,users.threads,gmail.users.threads.list,GET,,search_threads,search_threads,both
gmail,users.threads,gmail.users.threads.modify,POST,yes,apply_sensitive_thread_label label_thread mark_thread_spam unlabel_thread unmark_thread_spam,apply_sensitive_thread_label label_thread mark_thread_spam unlabel_thread unmark_thread_spam,both
gmail,users.threads,gmail.users.threads.trash,POST,yes,apply_sensitive_thread_label trash_thread,apply_sensitive_thread_label trash_thread,both
gmail,users.threads,gmail.users.threads.untrash,POST,yes,untrash_thread,untrash_thread,both
