api,family,method,http,path,operation_id,mutating,paging,deprecated,media_download,media_upload,scopes,narrowest_scope,summary
calendar,events,import,POST,calendars/{calendarId}/events/import,calendar.events.import,yes,,yes,,,calendar calendar.app.created calendar.events calendar.events.owned,https://www.googleapis.com/auth/calendar.events.owned,"Imports an event. This operation is used to add a private copy of an existing event to a calendar. Only events with an eventType of default may be imported. Deprecated behavior: If a non-default event is imported, its type will be changed to default and any event-type-specific properties it may have"
calendar,events,insert,POST,calendars/{calendarId}/events,calendar.events.insert,yes,,,,,calendar calendar.app.created calendar.events calendar.events.owned,https://www.googleapis.com/auth/calendar.events.owned,Creates an event.
calendar,events,instances,GET,calendars/{calendarId}/events/{eventId}/instances,calendar.events.instances,,cursor,,,,calendar calendar.app.created calendar.events calendar.events.freebusy calendar.events.owned calendar.events.owned.readonly calendar.events.public.readonly calendar.events.readonly calendar.readonly,https://www.googleapis.com/auth/calendar.events.public.readonly,Returns instances of the specified recurring event.
calendar,events,list,GET,calendars/{calendarId}/events,calendar.events.list,,cursor,,,,calendar calendar.app.created calendar.events calendar.events.freebusy calendar.events.owned calendar.events.owned.readonly calendar.events.public.readonly calendar.events.readonly calendar.readonly,https://www.googleapis.com/auth/calendar.events.public.readonly,Returns events on the specified calendar.
calendar,events,move,POST,calendars/{calendarId}/events/{eventId}/move,calendar.events.move,yes,,,,,calendar calendar.events calendar.events.owned,https://www.googleapis.com/auth/calendar.events.owned,"Moves an event to another calendar, i.e. changes an event's organizer. Note that only default events can be moved; birthday, focusTime, fromGmail, outOfOffice and workingLocation events cannot be moved."
calendar,events,patch,PATCH,calendars/{calendarId}/events/{eventId},calendar.events.patch,yes,,,,,calendar calendar.app.created calendar.events calendar.events.owned,https://www.googleapis.com/auth/calendar.events.owned,Updates an event. This method supports patch semantics.
calendar,events,quickAdd,POST,calendars/{calendarId}/events/quickAdd,calendar.events.quickAdd,yes,,,,,calendar calendar.app.created calendar.events calendar.events.owned,https://www.googleapis.com/auth/calendar.events.owned,Creates an event based on a simple text string.
calendar,events,update,PUT,calendars/{calendarId}/events/{eventId},calendar.events.update,yes,,,,,calendar calendar.app.created calendar.events calendar.events.owned,https://www.googleapis.com/auth/calendar.events.owned,Updates an event.
calendar,events,watch,POST,calendars/{calendarId}/events/watch,calendar.events.watch,yes,cursor,,,,calendar calendar.app.created calendar.events calendar.events.freebusy calendar.events.owned calendar.events.owned.readonly calendar.events.public.readonly calendar.events.readonly calendar.readonly,https://www.googleapis.com/auth/calendar.events.public.readonly,Watch for changes to Events resources.
calendar,freebusy,query,POST,freeBusy,calendar.freebusy.query,yes,,,,,calendar calendar.events.freebusy calendar.freebusy calendar.readonly,https://www.googleapis.com/auth/calendar.events.freebusy,Returns free/busy information for a set of calendars.
calendar,settings,get,GET,users/me/settings/{setting},calendar.settings.get,,,,,,calendar calendar.readonly calendar.settings.readonly,https://www.googleapis.com/auth/calendar.settings.readonly,Returns a single user setting.
calendar,settings,list,GET,users/me/settings,calendar.settings.list,,cursor,,,,calendar calendar.readonly calendar.settings.readonly,https://www.googleapis.com/auth/calendar.settings.readonly,Returns all user settings for the authenticated user.
calendar,settings,watch,POST,users/me/settings/watch,calendar.settings.watch,yes,cursor,,,,calendar calendar.readonly calendar.settings.readonly,https://www.googleapis.com/auth/calendar.settings.readonly,Watch for changes to Settings resources.
gmail,users,getProfile,GET,gmail/v1/users/{userId}/profile,gmail.users.getProfile,,,,,,https://mail.google.com/ gmail.compose gmail.metadata gmail.modify gmail.readonly,https://www.googleapis.com/auth/gmail.metadata,Gets the current user's Gmail profile.
gmail,users,stop,POST,gmail/v1/users/{userId}/stop,gmail.users.stop,yes,,,,,https://mail.google.com/ gmail.metadata gmail.modify gmail.readonly,https://www.googleapis.com/auth/gmail.metadata,"Turn off push notification delivery for the given user mailbox. For more information, see [Configure push notifications in Gmail API](https://developers.google.com/workspace/gmail/api/guides/push)."
gmail,users,watch,POST,gmail/v1/users/{userId}/watch,gmail.users.watch,yes,,,,,https://mail.google.com/ gmail.metadata gmail.modify gmail.readonly,https://www.googleapis.com/auth/gmail.metadata,"Set up or update a push notification watch on the given user mailbox. For more information, see [Configure push notifications in Gmail API](https://developers.google.com/workspace/gmail/api/guides/push)."
gmail,users.drafts,create,POST,gmail/v1/users/{userId}/drafts,gmail.users.drafts.create,yes,,,,yes,https://mail.google.com/ gmail.addons.current.action.compose gmail.compose gmail.modify,https://www.googleapis.com/auth/gmail.compose,"Creates a draft with the `DRAFT` label. For more information, see [Create and send draft emails](https://developers.google.com/workspace/gmail/api/guides/drafts)."
